record_id,complaint_num,pdf_filename,pdf_url,block_position,offense,date,location,lat,long,zone_id,zone_name,year,month,day,date_str
6057,25-04225,weekend-summary-report-08august2025-11august2025.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2025/08-august/weekend-summary-report-08august2025-11august2025.pdf,11,RECOVERED STOLEN MOTOR VEHICLE,2025-08-09,5000 BLOCK OF W. WASHINGTON (CHICAGO),41.8821424,-87.7505714,,,2025,8,9,2025-08-09
6058,25-03567,summary-report-8-9-july.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2025/07-july/summary-report-8-9-july.pdf,0,THEFT OF MOTOR VEHICLE PARTS,2025-07-08,1200 BLOCK OF N. EUCLID AVE.,41.9073824,-87.7934853,2,Zone 2,2025,7,8,2025-07-08
6059,25-03233,summary-report-21-23-jun.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2025/06-june/summary-report-21-23-jun.pdf,0,DOMESTIC BATTERY ARREST,2025-06-21,1100 BLOCK S. AUSTIN BLVD.,41.8667035,-87.7745003,7,Zone 7,2025,6,21,2025-06-21
6060,25-02165,weekend-summary-report-02may2025-05may2025.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2025/05-may/weekend-summary-report-02may2025-05may2025.pdf,2,DOMESTIC BATTERY ARREST,2025-05-02,200 BLOCK OF CHICAGO,41.8948539,-87.7802351,1,Zone 1,2025,5,2,2025-05-02
6061,24-05455,weekend_summary_report_13september_-_16september2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/weekend_summary_report_13september_-_16september2024.pdf,14,THEFT,2024-09-13,400 BLOCK OF N. HARLEM,41.8871362,-87.8049887,3,Zone 3,2024,9,13,2024-09-13
6062,24-04938,weekend_summary_report_23august_-_26august_2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/weekend_summary_report_23august_-_26august_2024.pdf,3,RETAIL THEFT,2024-08-22,400 BLOCK OF N. HARLEM,41.8871362,-87.8049887,3,Zone 3,2024,8,22,2024-08-22
6063,24-03279,summary_report_13-june-2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/summary_report_13-june-2024.pdf,1,BURGLARY-MOTOR VEHICLE,2024-06-12,600 BLOCK OF CLARENCE,41.8725527,-87.7903302,6,Zone 6,2024,6,12,2024-06-12
6064,24-00823,summary_report_13-february-2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/summary_report_13-february-2024.pdf,3,CRIMINAL DAMAGE TO PROPERTY,2024-02-12,600 BLOCK OF N. LOMBARD,41.8966092,-87.7797362,1,Zone 1,2024,2,12,2024-02-12
6065,24-00806,weekend_summary_09-12_february_2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/weekend_summary_09-12_february_2024.pdf,15,RECKLESS DISCHARGE OF A FIREARM,2024-02-11,800 BLOCK OF N. MARION,41.8997292,-87.8039227,2,Zone 2,2024,2,11,2024-02-11
6066,23-07782,summary_report_13-december-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_13-december-2023.pdf,17,BURGLARY TO GARAGE,2023-12-10,1100 BLOCK CLARENCE AVE.,41.8687888,-87.7899438,8,Zone 8,2023,12,10,2023-12-10
